id,value,colorValue
004,1.299,6
008,1.676,7
012,0.768,5
020,1.189,6
660,0.621,5
028,0.625,5
051,1.295,6
533,0.499,4
040,2.101,8
031,1.76,8
044,0.012,3
048,0.862,5
050,-0.134,3
052,0.619,5
112,2.752,10
056,1.82,8
084,-0.164,2
204,0.643,5
064,0.073,3
535,0.621,5
070,2.167,9
076,0.733,5
092,0.558,4
100,2.143,9
854,0.437,4
104,0.512,4
108,0.781,5
116,0.781,5
124,0.941,5
132,0.637,5
136,-0.141,2
156,0.581,4
162,0.76,5
170,0.702,5
174,0.775,5
180,0.824,5
191,2.108,8
192,-0.059,3
531,0.574,4
196,0.633,5
203,2.441,9
384,0.593,4
208,1.661,7
208,1.94,8
212,0.634,5
214,0.163,3
818,0.8,5
222,0.092,3
233,2.978,11
231,0.858,5
234,1.008,6
246,3.112,11
250,1.26,6
250,1.398,7
254,0.698,5
270,0.31,4
275,0.642,5
268,1.315,6
276,2.34,9
288,0.554,4
300,1.421,7
304,1.655,7
308,0.62,5
312,0.628,5
320,-0.059,3
831,1.269,6
324,0.439,4
624,0.342,4
328,0.745,5
332,0.152,3
340,0.003,3
344,0.586,4
348,2.496,10
352,1.365,6
356,0.437,4
360,0.699,5
364,1.306,6
368,0.802,5
372,0.983,5
833,1.11,6
376,0.666,5
380,1.524,7
388,0.176,3
392,0.389,4
832,1.269,6
400,0.777,5
398,3.428,12
404,0.722,5
414,0.771,5
417,2.165,9
418,0.792,5
428,2.641,10
422,0.634,5
430,0.602,4
434,0.837,5
438,1.817,8
440,2.687,10
442,1.936,8
446,0.59,4
807,1.875,8
450,0.728,5
454,0.613,4
458,0.747,5
466,0.44,4
470,1.193,6
474,0.634,5
478,0.432,4
175,0.788,5
484,-0.323,2
498,2.557,10
492,1.645,7
496,1.608,7
499,1.993,8
500,0.626,5
504,0.802,5
508,0.61,4
524,-0.151,2
528,1.895,8
528,1.926,8
558,0.208,3
408,0.306,4
578,1.683,7
512,0.688,5
586,0.807,5
616,2.864,10
620,0.917,5
630,0.486,4
634,0.826,5
642,2.579,10
643,1.584,7
646,0.789,5
652,0.621,5
659,0.609,4
662,0.632,5
663,0.621,5
666,0.414,4
670,0.637,5
674,1.716,7
682,0.781,5
686,0.273,4
688,2.349,9
690,0.706,5
694,0.471,4
702,0.644,5
534,0.621,5
703,2.605,10
705,2.054,8
706,0.698,5
410,0.232,3
724,1.017,6
144,0.719,5
740,0.728,5
744,1.953,8
752,2.175,9
756,1.81,8
760,0.696,5
nan,0.45,4
762,1.468,7
834,0.714,5
764,0.845,5
768,0.555,4
780,0.642,5
788,1.208,6
792,1.097,6
795,2.522,10
796,0.169,3
800,0.804,5
804,2.902,11
784,0.774,5
826,1.178,6
826,1.197,6
840,0.499,4
860,2.734,10
862,0.65,5
704,0.638,5
732,0.671,5
894,0.728,5
716,0.55,4
248,2.468,9
024,0.0,1
032,0.0,1
010,0.0,1
260,0.0,1
036,0.0,1
068,0.0,1
096,0.0,1
072,0.0,1
140,0.0,1
152,0.0,1
120,0.0,1
178,0.0,1
188,0.0,1
-99,0.0,1
262,0.0,1
218,0.0,1
232,0.0,1
242,0.0,1
238,0.0,1
266,0.0,1
226,0.0,1
-99,0.0,1
426,0.0,1
516,0.0,1
540,0.0,1
562,0.0,1
566,0.0,1
554,0.0,1
591,0.0,1
604,0.0,1
608,0.0,1
598,0.0,1
600,0.0,1
729,0.0,1
728,0.0,1
090,0.0,1
-99,0.0,1
748,0.0,1
148,0.0,1
626,0.0,1
158,0.0,1
858,0.0,1
548,0.0,1
887,0.0,1
710,0.0,1
