id,value,colorValue
004,1.622,6
008,1.999,7
012,1.091,5
020,1.512,6
660,0.944,5
028,0.948,5
051,1.617,6
533,0.822,4
040,2.424,8
031,2.083,8
044,0.335,3
048,1.185,5
050,0.189,3
052,0.942,5
112,3.075,10
056,2.143,8
084,0.159,2
204,0.965,5
064,0.396,3
535,0.944,5
070,2.49,9
076,1.056,5
092,0.881,4
100,2.466,9
854,0.76,4
104,0.835,4
108,1.104,5
116,1.104,5
124,1.264,5
132,0.96,5
136,0.182,2
156,0.904,4
162,1.083,5
170,1.025,5
174,1.098,5
180,1.146,5
191,2.431,8
192,0.264,3
531,0.897,4
196,0.956,5
203,2.764,9
384,0.916,4
208,1.984,7
208,2.263,8
212,0.957,5
214,0.486,3
818,1.123,5
222,0.415,3
233,3.301,11
231,1.181,5
234,1.331,6
246,3.435,11
250,1.583,6
250,1.721,7
254,1.021,5
270,0.633,4
275,0.965,5
268,1.638,6
276,2.663,9
288,0.877,4
300,1.744,7
304,1.977,7
308,0.943,5
312,0.951,5
320,0.264,3
831,1.592,6
324,0.761,4
624,0.665,4
328,1.068,5
332,0.475,3
340,0.326,3
344,0.909,4
348,2.819,10
352,1.688,6
356,0.76,4
360,1.022,5
364,1.629,6
368,1.125,5
372,1.306,5
833,1.433,6
376,0.989,5
380,1.847,7
388,0.499,3
392,0.712,4
832,1.592,6
400,1.1,5
398,3.751,12
404,1.045,5
414,1.094,5
417,2.488,9
418,1.114,5
428,2.964,10
422,0.957,5
430,0.925,4
434,1.16,5
438,2.14,8
440,3.01,10
442,2.259,8
446,0.913,4
807,2.198,8
450,1.051,5
454,0.936,4
458,1.07,5
466,0.763,4
470,1.516,6
474,0.957,5
478,0.755,4
175,1.111,5
484,0.0,2
498,2.88,10
492,1.968,7
496,1.931,7
499,2.316,8
500,0.949,5
504,1.125,5
508,0.933,4
524,0.172,2
528,2.218,8
528,2.249,8
558,0.531,3
408,0.629,4
578,2.006,7
512,1.01,5
586,1.13,5
616,3.186,10
620,1.24,5
630,0.809,4
634,1.148,5
642,2.902,10
643,1.907,7
646,1.112,5
652,0.944,5
659,0.932,4
662,0.955,5
663,0.944,5
666,0.737,4
670,0.96,5
674,2.039,7
682,1.104,5
686,0.596,4
688,2.671,9
690,1.029,5
694,0.794,4
702,0.967,5
534,0.944,5
703,2.928,10
705,2.377,8
706,1.021,5
410,0.555,3
724,1.34,6
144,1.042,5
740,1.051,5
744,2.276,8
752,2.498,9
756,2.132,8
760,1.019,5
nan,0.773,4
762,1.791,7
834,1.037,5
764,1.168,5
768,0.878,4
780,0.965,5
788,1.531,6
792,1.42,6
795,2.845,10
796,0.492,3
800,1.127,5
804,3.224,11
784,1.097,5
826,1.501,6
826,1.52,6
840,0.822,4
860,3.057,10
862,0.973,5
704,0.961,5
732,0.994,5
894,1.051,5
716,0.873,4
248,2.791,9
024,0.0,1
032,0.0,1
010,0.0,1
260,0.0,1
036,0.0,1
068,0.0,1
096,0.0,1
072,0.0,1
140,0.0,1
152,0.0,1
120,0.0,1
178,0.0,1
188,0.0,1
-99,0.0,1
262,0.0,1
218,0.0,1
232,0.0,1
242,0.0,1
238,0.0,1
266,0.0,1
226,0.0,1
-99,0.0,1
426,0.0,1
516,0.0,1
540,0.0,1
562,0.0,1
566,0.0,1
554,0.0,1
591,0.0,1
604,0.0,1
608,0.0,1
598,0.0,1
600,0.0,1
729,0.0,1
728,0.0,1
090,0.0,1
-99,0.0,1
748,0.0,1
148,0.0,1
626,0.0,1
158,0.0,1
858,0.0,1
548,0.0,1
887,0.0,1
710,0.0,1
