id,value,colorValue
008,0.087,3
012,-0.058,3
020,-0.23,2
040,0.384,5
044,0.626,6
050,-0.357,1
112,0.439,5
056,0.158,4
070,0.449,5
100,0.493,5
191,0.425,5
196,0.242,4
203,0.59,5
208,1.067,7
233,0.945,7
234,1.261,8
246,1.752,10
250,-0.094,2
250,-0.181,2
276,0.487,5
300,0.09,3
831,0.065,3
348,0.658,6
352,1.583,10
356,0.027,3
372,0.436,5
833,0.508,5
380,-0.066,3
832,0.065,3
428,0.605,5
434,0.043,3
438,-0.037,3
440,0.534,5
442,0.047,3
807,0.256,4
470,-0.262,2
498,0.626,6
492,-0.079,3
499,0.29,4
504,0.018,3
524,-0.443,1
528,0.443,5
528,0.449,5
578,1.371,9
616,0.805,6
620,0.001,3
642,0.638,6
666,0.137,3
674,0.163,4
688,0.563,5
703,0.677,6
705,0.396,5
724,-0.077,3
144,0.23,4
744,1.904,11
752,1.359,9
756,-0.071,3
788,-0.098,2
792,0.475,5
804,0.923,7
826,0.537,5
826,0.55,5
732,0.281,4
248,1.121,8
